,mallId,mallProductId,updateType,mallReviewId,mallSeq,nvMid,matchNvMid,userId,title,content,registerDate,modifyDate,createTime,qualityScore,starScore,imageYn,imageCount,videoYn,videoCount,topicYn,topicCount,topics,uniqueKey,mallName,mallLogo,buyOption,pageUrl,images,_uniqueKey,videos
0,11st,3608619502,UPSERT,181026453,17703,27600858518,25604807522,sk******,최고예요,처음엔 S21이 발열 이슈가 있다고 들어서 구매를 망설이긴 했는데 막상 써보니까 제조연월이 최근이어서 그런지 또는 메모리를 크게 잡아먹는 태스크를 안 해서 그런지 발열이 전혀 없네요. 자급제 LTE를 써서 5g망 검색을 하지 않아서 발열이 안 나는 것 같기도 합니다. 제조연월은 염두에 두지 않고 있었는데 판매자께서 최근에 제조된 제품을 보내주셔서 만족하며 쓰고 있는 중입니다. 끼워주시는 <em>젤리케이스도 품질이 괜찮아서 더 좋네요</em>. 전에 쓰던 기종이 S8이라 점점 무거워져가던 차에 폰을 바꾸게 되었는데 품질 우려와는 달리 선녀입니다. 다만 아직 카메라 구동은 해보지 않아서 동영상 촬영시 발열이 심해지는지는 테스트 해보지 않았습니다.하드웨어 스펙이 오히려 전작보다 낮아지긴 했어도 가성비 측면에서 보면 상당히 괜찮은 제품인 듯 하고 성능이 낮아졌더라도 고사양 게임 같은 것만 안 하면 발열 이슈는 크게 없을 것으로 보입니다. 기기덕후들 마냥 폰을 하이엔드 급으로 굴릴 거 아니면 무난히 좋은 제품인데 아무래도 전작에 비해 성능 너프는 마음 한 켠에 걸리는 측면이 좀 있긴 합니다. 다만 구형기종으로 오래 버텨왔고 <em>게임도 너무 무거운 거 안 하시는 분들은 S21로 넘어가시면 충분히 만족하실 듯 합니다</em>.,2021-07-16,2021-07-16,1626544928716,0.898658,5,N,0,N,0,Y,2,"[{'topicCode': 'quality', 'topicName': '품질', 'topicNameRaw': '품질', 'startPosition': 526, 'endPosition': 580, 'reputationScore': 748, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1385, 'endPosition': 1498, 'reputationScore': 600, 'positiveYn': 'Y'}]",181026453-11st-3608619502,11번가,https://shopping-phinf.pstatic.net/20210217/f7063139-d02c-4822-b334-b9afff3956b2.jpg,,,,,
1,finegst,5592262696,UPSERT,3245447513,184941,83136758983,25604807522,zx32****,"아이폰 7+를 쓰다 배터리가 빨리 닳기 시작한 점, 발열, 충전기 문제 등으로 핸드폰을 바꿨습니다. 아이폰이 안드로이드에서 제공하는 서비스를 제공하지 않는 경우가 있어 불편하기도 ","아이폰 7+를 쓰다 배터리가 빨리 닳기 시작한 점, 발열, 충전기 문제 등으로 핸드폰을 바꿨습니다. 아이폰이 안드로이드에서 제공하는 서비스를 제공하지 않는 경우가 있어 불편하기도 했어서 다시 이용하는 안드로이드, 갤럭시 제품에 많이 기대됩니다.<br><br>지난 주 토요일인가 그때쯤 주문하고 배송예정일은 18일이라고 떴습니다. 하지만 발송이 18일이었고 도착은 하루 늦은 19일에 왔습니다.<br><br>구성품으로는 핸드폰, 핸드폰 케이스가 들어 있었습니다. 핸드폰이 들어있던 상자에는 유심을 끼울 때 쓰는 도구와 간단한 설명서 그리고 케이블 한 개가 있었습니다.<br><br>핸드폰에는 이미 액정보호필름이 붙어 있었고 핸드폰 설정만 하면 됐습니다. 아이폰에서 데이터를 이동하려는 순간 배터리가 80이상이어야 한다고 하더라고요. 당장 폰에 맞는 정품 <em>충전기가 없어</em> 당황하긴 했습니다만, 헤드폰 충전기가 폰과 맞아 그걸로 일단 썼습니다. 지금은 무선 충전기를 사서 그걸로 쓰고 있습니다.<br><br>발열 문제 있습니다. 데이터를 옮길 때도 그랬고 쿠키런 킹덤 게임을 할 때도 발열됩니다. 하지만 아이폰을 쓰면서 발열에 마음을 놓았기에 새폰인데 이런 점은 아쉽지만, 대충 <em>만족합니다</em>.<br><br>카메라는 색이 뚜렷하게 보입니다. 그런데 세로로 세 개가 나란히 있어 폰을 거꾸로 들고 촬영하려고 할 때 폰 잡는 손의 위치를 신경써야 합니다.",2021-08-22,2021-08-22,1629658140678,0.874297,5,Y,3,N,0,Y,2,"[{'topicCode': 'component', 'topicName': '제품구성', 'topicNameRaw': '제품구성', 'startPosition': 999, 'endPosition': 1017, 'reputationScore': 445, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1426, 'endPosition': 1440, 'reputationScore': 525, 'positiveYn': 'Y'}]",3245447513-finegst-5592262696,KT공식몰,https://shopping-phinf.pstatic.net/20210216_0/1841f8f8-a497-4496-832a-d5532e6fed85.jpg,색상: 팬텀 화이트,https://smartstore.naver.com/main/products/5592262696,"['https://phinf.pstatic.net/checkout/20210822_163/1629606003177CCD4o_JPEG/review-attachment-ffe2f458-7551-4a1f-b5d3-057f9ab8ba27.jpg', 'https://phinf.pstatic.net/checkout/20210822_43/1629606016981Lgd61_JPEG/review-attachment-3d0808a5-f292-48c1-814d-dc1a9bf94a43.jpg', 'https://phinf.pstatic.net/checkout/20210822_36/1629606028725KkTUq_JPEG/review-attachment-9735626d-afde-451d-b41b-c35df6bd24a3.jpg']",,
2,lotteon,LO1446326772,UPSERT,50000004401405,1243359,26321121427,25604807522,y*m*****,믿고 쓰는 회사 제품입니다.  티비,"믿고 쓰는 회사 제품입니다. <br>티비 광고 보고 갖고 싶어서 구매 했어요.<br><em>사은품 넘 맘에들어 </em>샀어요.<br><em>무엇보다 착한 가격 마음에 쏙 드네요</em>.<br><br>S9보다 약간 가볍고 약간 커요.<br>여자 장지갑에 쏙 <em>들어 갈 정도 얇고 가벼워서 좋아요</em>.<br>사진 보정AI지우기 넘 신기하고 유용한 기능이네요.<br><br>나 같이 기맹을 위해서 삼성맴버스 앱에 사용 방법 쉽게 설명 되어 있고, 팁어플 보니까 사용 방법 쉬워요.<br>폰 열나는 현상은 없어요.<br><br><em>삼성 티비 컴퓨터 s9 냉장고랑 호환성 좋아요</em>.<br><br><em>삼성은 환경을 생각해선지 폰케이스랑 충전기 없다는게 아쉽네요</em>. <br>이어폰 단자가 둥근게 아니라 긴 단자라네요.<br><br>어플 다운 속도가 느려요. 내가 4G요금제 쓰는데 <em>다운 속도가 아쉽네요</em>.<br><em>외장 메모리카드 없다는 살짝 아쉬워요</em>.<br>유심칩 교체하고 전원 부팅 두번하니까 개통 되네요. 대리점 가서 비싼 요금제 설명 안들도 되고, <em>가격 저렴해서 </em>착한폰 같아요.<br><br>3일째 사용중인데 터치감 좋고 화면 깨끗해서 눈이 피로하지 않네요. 유용한기능 많아요. <br><br>약정 끝나고. 할부금 안 남고 폰 구형이 분들께 추천해요.<br>",2021-07-18,2021-07-18,1628040902435,0.874099,5,Y,2,N,0,Y,10,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 101, 'endPosition': 127, 'reputationScore': 476, 'positiveYn': 'Y'}, {'topicCode': 'price', 'topicName': '가격', 'topicNameRaw': '가격', 'startPosition': 142, 'endPosition': 191, 'reputationScore': 705, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 169, 'endPosition': 191, 'reputationScore': 570, 'positiveYn': 'Y'}, {'topicCode': 'weight', 'topicName': '무게', 'topicNameRaw': '무게', 'startPosition': 269, 'endPosition': 315, 'reputationScore': 661, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 584, 'endPosition': 642, 'reputationScore': 713, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 652, 'endPosition': 738, 'reputationScore': 873, 'positiveYn': 'N'}, {'topicCode': 'component', 'topicName': '제품구성', 'topicNameRaw': '제품구성', 'startPosition': 704, 'endPosition': 738, 'reputationScore': 613, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 877, 'endPosition': 905, 'reputationScore': 555, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 911, 'endPosition': 962, 'reputationScore': 717, 'positiveYn': 'N'}, {'topicCode': 'price', 'topicName': '가격', 'topicNameRaw': '가격', 'startPosition': 1098, 'endPosition': 1117, 'reputationScore': 450, 'positiveYn': 'Y'}]",50000004401405-lotteon-LO1446326772,롯데ON,https://shopping-phinf.pstatic.net/20210909/c143849d-0eb5-4662-ae04-a9bd8efd7371.jpg,바이올렛,https://www.lotteon.com/p/product/LO1446326772?sitmNo=LO1446326772_1446326775&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,"['https://shopping-phinf.pstatic.net/20210408_17/b80c3152-3bf1-4499-bded-dcb2074ca3d4.jpg', 'https://shopping-phinf.pstatic.net/20210408_24/8e8e4e7e-da05-41ca-961d-0d1a5cc8edb4.jpg']",50000004401405-lotteon-LO1446326772,
3,ssgcom,1000060241215,UPSERT,1144313275,218835,28762173517,25604807522,ys******,갤럭시 노트8에서  넘어왔어요 사실 핸드폰에 큰 관심이,갤럭시 노트8에서  넘어왔어요<br>사실 핸드폰에 큰 <em>관심이 없어서</em>  약정은 끝났지만 기존폰  쓰려했는데 폰이  고장이나버려서 구매하게 됐어요. 별 기대없이 샀는데<em>  생각보다 참 만족스럽네요</em> <br>1. 터치감이나  반응이  참 매끄러워요<br>갤럭시  쓰면서<em>  아이폰만큼의  터치감은 기대도  안했는데</em> 노트 쓰는동안  삼성폰 많이 좋아졌어요<br>이 부분이 폰바꾸고  가장  만족스러울줄은 생각도  못했는데 <em>기대이상이네요</em><br>2. <em>카메라 정말좋아요</em>  고가의  핸드폰을  산게 아니라  비싼 카메라를  산건가  할  정도로 밤이든 역광이든<br>실망시키지  않는 샷을 남겨주네요<br>아이폰으로  넘어갈지 이번에 고민을 좀 했었는데 확실히  데이터  옮기는것도  그렇고  새로운 폰 적응하는  문제도  그렇고 저는 안드로이드가  맞는거같아요.<br>그동안 터치감이나 카메라색감  디자인때문에 아이폰쓰고 싶을때가 있었는데  이번에 기능적인 <em>부분도 많이  보완되었고 디자인도 동글동글하게 이뻐져서 너무  마음에 들어요</em><br><em>마지막까지 그레이랑 퍼플 두고 고민했는데  그레이  넘  이뻐서</em> 강추합니다<br><br>전반적으로 만족스러운 쇼핑이었어요,2021-09-03,2021-09-03,1640803306499,0.872257,5,N,0,N,0,Y,7,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 68, 'endPosition': 86, 'reputationScore': 445, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 219, 'endPosition': 255, 'reputationScore': 649, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 335, 'endPosition': 392, 'reputationScore': 407, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 533, 'endPosition': 553, 'reputationScore': 555, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 561, 'endPosition': 585, 'reputationScore': 557, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1098, 'endPosition': 1203, 'reputationScore': 938, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1208, 'endPosition': 1292, 'reputationScore': 518, 'positiveYn': 'Y'}]",1144313275-ssgcom-1000060241215,SSG닷컴,https://shopping-phinf.pstatic.net/20210217/cd3c0351-bdaf-4204-bf88-c82cb3c6082c.jpg,,,,,
4,11st,3288857658,UPSERT,176081076,17703,25783022889,25604807522,si******,좋아요,"S8 쓰다가 요번에 바꿨는데 확실히 속도가 빠르긴 하네요.핸펀 한 번 쓰면 오래 쓰는 편인데,요번에 감당할 수 없을 정도로 액정이 깨져서 고민하다가 구매했는데 대체로 만족하는 편예요.워낙 <em>퍼플을 좋아해서 </em>고민없이 <em>바이올렛 골랐는데,무광에 촌스럽지 않은 컬러로 참 이뻐요</em>.<em>저 쓰고나서 괜찮음</em>,저 만큼은 아니지만 깨진 액정의 폰 갖고 있는신랑도 컬러만 바꿔서 같은걸로 쓰게 해야겠어요.사은품으로 온 3단 우산은, 케이스는 조금 있어보이긴 하는데우산 자체로 봤을땐 사실 실용성 면에서 좀 떨어지는 편예요.충전기는 후기에서 본 것보다 열이 심하게 올라오진 않았어요.핸펀 받고 당일이 아니라 다음날 핸펀을 만져서인지는 그 영향인지는 모르겠지만요.스타벅스 커피 상품권은 아직 안왔고,무선이어폰은 빠른 시일에 구매해야 겠어요.액정 필름은 기본으로 붙여와서 나쁘진 않으나갠적으론 다른 사은품 말고 강화유리 필름이나 기본이아닌 범퍼가 좀 더 강화된 투명 케이스를 보내줬으면 더 실용적이였겠다는 생각이 많이 들었어요.카메라 화질도 아주 좋아요.",2021-05-27,2021-05-27,1625782427003,0.856466,4,N,0,N,0,Y,5,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 255, 'endPosition': 277, 'reputationScore': 315, 'positiveYn': 'Y'}, {'topicCode': 'color', 'topicName': '색상', 'topicNameRaw': '색상', 'startPosition': 291, 'endPosition': 369, 'reputationScore': 695, 'positiveYn': 'Y'}, {'topicCode': 'design', 'topicName': '디자인', 'topicNameRaw': '디자인', 'startPosition': 317, 'endPosition': 369, 'reputationScore': 765, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 327, 'endPosition': 369, 'reputationScore': 565, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 371, 'endPosition': 396, 'reputationScore': 330, 'positiveYn': 'Y'}]",176081076-11st-3288857658,11번가,https://shopping-phinf.pstatic.net/20210217/f7063139-d02c-4822-b334-b9afff3956b2.jpg,,,,,
5,ncp_1nod3n_01,5331288375,UPSERT,3252078829,781798,82875781042,25604807522,ljb8****,자급제 처음 사보는데 그전에는 대리점 가서 맨날 호갱당하구 높은요금제 .서서 나름 통신사 vvip 이긴한데 해텍도 별로 없고 차리 자급제폰쓰고 알들요금제 쓰는게 이득인것같아 기존폰,"자급제 처음 사보는데 그전에는 대리점 가서 맨날 호갱당하구 높은요금제 .서서 나름 통신사 vvip 이긴한데 해텍도 별로 없고 차리 자급제폰쓰고 알들요금제 쓰는게 이득인것같아 기존폰 할부금 없애버리고 갤력시21구매했어요 <br><br><em>배터리 금방 달지 않고 사진도 예쁘게 나오는데 </em>아이폰 살이유는 이제 없어진것같아요 아이폰이 사진 예쁘게 보정되서 고민했는데 삼성이 일을 낸것같아요 <em>저는 너무 만족스러워용 </em>ᄒ ᄒ ᄒ ᄒ<br><br><em>디자인도 너무예쁘고 </em>매달마다 비싼요금 내는것보다 알뜰요금제조합으로 데이터무제한 름화무제한해서 한달에25600원 내고 있어요 다들 호갱 당하지 마시고!! 자급제로 갈아타세요!!!!<br>전 카드사 할인 까지해서 :엄청싸게 구매했는데 한번 에 돈많이 내 는게 흠이 긴하지만 , 장기적 으로봄때 는 자급제가 훨씬 이득이에요  진짜!! 제가산거 보고 친 구들도 사겠 다고 <em>난리치고</em> <em>고민하는시 간도 아까워요</em> 얼른사세요!",2021-08-31,2021-08-31,1630435882568,0.855873,5,Y,3,N,0,Y,5,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 308, 'endPosition': 371, 'reputationScore': 520, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 516, 'endPosition': 548, 'reputationScore': 565, 'positiveYn': 'Y'}, {'topicCode': 'design', 'topicName': '디자인', 'topicNameRaw': '디자인', 'startPosition': 572, 'endPosition': 600, 'reputationScore': 545, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1058, 'endPosition': 1069, 'reputationScore': 410, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1071, 'endPosition': 1105, 'reputationScore': 625, 'positiveYn': 'N'}]",3252078829-ncp_1nod3n_01-5331288375,삼성모바일파트너 코잇,https://shopping-phinf.pstatic.net/20210216_20/0640e11b-7791-4eaa-b066-7199eeb4511c.jpg,색상선택: 팬텀 화이트,https://smartstore.naver.com/main/products/5331288375,"['https://phinf.pstatic.net/checkout/20210831_21/1630411199141FYNUA_JPEG/review-attachment-d072ec27-9329-4390-8d71-3b5a6f53f8a3.jpeg', 'https://phinf.pstatic.net/checkout/20210831_71/1630411199059AtLg5_JPEG/review-attachment-2f5cd71f-daf2-4d94-92a9-ab4ef6c45ef6.jpeg', 'https://phinf.pstatic.net/checkout/20210831_22/16304111991996ipc9_JPEG/review-attachment-3d27b031-84c1-4a00-b5bd-2876d8d4d823.jpeg']",,
6,11st,3288857658,UPSERT,170521611,17703,25783022889,25604807522,te******,최고예요,"배송 하루만에 왔구요. 포장상태는 엄청 두껍고 튼튼한 포장재에 쌓여왔어요.1.핸드폰 디자인핑크가 예뻐서 원래 사려고 했는데 품절이라 <em>바이올렛 색상으로 구매했는데 블루빛이 감도는 예쁜 보라색이라 정말 맘에 들어요</em>. 제가 딱 좋아하는 색상이고 실물은 색이 조금 더 연하게 빠졌어요. 렌즈쪽 <em>핑크색 배색으로 실물이 더 괜찮아요</em>. 테두리가 금테두리라 고급져  보이네요. 2.핸드폰 크기여자손에 딱 맞는 <em>사이즈로 맘에 듭니다</em>. s9과 크기 거의 같아요. 남자분들은 작다고 느껴지실 수도 있을 것 같아요.3.핸드폰 성능용량이 전 폰보다 늘어나서 좋고요. 동영상 깨짐이 덜하고 멀리 있는 것도 잘 찍히네요. 그리고 전송속도나 화면속도도 빨라졌구요. 통화, 음향 음질 깨끗하고 <em>유심칩 교체가 편리해서 좋았어요</em>. 나머지는 차차 사용하면서 알게 될 것 같아요. <em>구매 만족합니다</em>.",2021-04-09,2021-04-09,1625782423761,0.852049,5,N,0,N,0,Y,5,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 184, 'endPosition': 294, 'reputationScore': 800, 'positiveYn': 'Y'}, {'topicCode': 'color', 'topicName': '색상', 'topicNameRaw': '색상', 'startPosition': 396, 'endPosition': 444, 'reputationScore': 706, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 543, 'endPosition': 571, 'reputationScore': 568, 'positiveYn': 'Y'}, {'topicCode': 'usability', 'topicName': '사용성', 'topicNameRaw': '사용성', 'startPosition': 901, 'endPosition': 945, 'reputationScore': 657, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1010, 'endPosition': 1031, 'reputationScore': 484, 'positiveYn': 'Y'}]",170521611-11st-3288857658,11번가,https://shopping-phinf.pstatic.net/20210217/f7063139-d02c-4822-b334-b9afff3956b2.jpg,,,,,
7,ssgcom,1000060241215,UPSERT,1149496053,218835,28762173517,25604807522,he******,저가형 모델인 갤럭시 A52s 바꿀까 하다가 갤럭시S2,"저가형 모델인 갤럭시 A52s 바꿀까 하다가<br>갤럭시S21가 <em>조건이 너무 좋아서</em> 구매했습니다<br><em>카드 할인 행사로 가격도 저렴하게 구입했어요</em>.<br><br>1. 색상<br>바이올렛이 나중에 질리지 않을까 싶어서<br><em>팬텀 화이트와 팬텀 바이올렛 중에 고민 했는데</em><br>바이올렛이 제일 S21 만의 특색이 사는 것 같습니다.<br><br>2. 크기와 무게<br>한 손에 쏙 들어오는 적당한 <em>크기라 마음에 들고</em><br><em>무게가 엄청 가볍습니다</em>.<br><br>3. 디스플레이<br>엣지형이 아닌 플랫형이라 마음에 들고 <br>화면이 시원시원하고 선명합니다<br>특히 영상을 볼 때 특별히 다름이 느껴집니다.<br><br>4. 카메라<br>전면 카메라 : 기본 1200만 화소 + 망원 6400만 화소 + 광각 1200만 화소<br>후면 카메라 : 1000만 화소<br>역대급 사양으로 어두운 환경에서도 밝게 사진을 찍을 수 있어서 <em>카메라 성능도 너무 마음에 드네요</em>.<br><br>5. 메모리<br>용량도 256GB라서 넉넉하고 RAM가 8GB라서 <br>그런지 처리 속도도 빠르네요.<br><br>6. 패키지 구성<br>케이스, 케이블, 어댑터, 카메라 보호 필터<br>딱 필요한 것만 들어 있어서 <em>만족스럽습니다</em>.",2021-10-27,2021-10-27,1640803653891,0.842224,5,N,0,N,0,Y,7,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 74, 'endPosition': 99, 'reputationScore': 530, 'positiveYn': 'Y'}, {'topicCode': 'price', 'topicName': '가격', 'topicNameRaw': '가격', 'startPosition': 123, 'endPosition': 184, 'reputationScore': 727, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 266, 'endPosition': 328, 'reputationScore': 409, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 470, 'endPosition': 495, 'reputationScore': 480, 'positiveYn': 'Y'}, {'topicCode': 'weight', 'topicName': '무게', 'topicNameRaw': '무게', 'startPosition': 500, 'endPosition': 531, 'reputationScore': 660, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 969, 'endPosition': 1014, 'reputationScore': 730, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 1265, 'endPosition': 1285, 'reputationScore': 555, 'positiveYn': 'Y'}]",1149496053-ssgcom-1000060241215,SSG닷컴,https://shopping-phinf.pstatic.net/20210217/cd3c0351-bdaf-4204-bf88-c82cb3c6082c.jpg,,,,,
8,finegst,5592262696,UPSERT,3232254230,184941,83136758983,25604807522,wkdd****,갤S8에서 유심만 옮겨서 꽂았어요50퍼정도 충전돼서 왔고 액정필름 붙어서 오고 포장도 좋았음S21로 바뀌면서 좋은점: 1. 용량부족에 시달리지 않게됨. sd카드꽂는 곳이 없는건 아,갤S8에서 유심만 옮겨서 꽂았어요<br>50퍼정도 충전돼서 왔고 액정필름 붙어서 오고 <em>포장도 좋았음</em><br>S21로 바뀌면서 좋은점: <br>1. <em>용량부족에 시달리지 않게됨</em>. sd카드꽂는 곳이 없는건 아숩지만..<br>2. 새폰이라 배터리 아주 오래감 이틀동안 충전안함. 반응속도도 당연 훨씬 빨라짐<br>3. <em>폰 크기는 조금 커졌는데 </em>화면은 훨씬 커짐<br>4. 카메라가 선명하고 특히 자연색감과 빛 색깔을 잘 잡음. 노을 불빛조명 등등 빛번짐없<br>5. 화면터치해서 지문인식 이거 진짜편함<br><br>아쉬운점은 외관이 S8이 이쁘긴함 엣지굴곡에  후면 미러글라스.. 가볍고 슬림한 S8보다가 이거보면 좀 <em>아빠폰 같은 느낌이 들기도 하지만 기능이 훨씬 좋기</em> 때문에 21로 넘어왔음<br><em>만족</em>!,2021-08-02,2021-08-02,1627930255060,0.84185,5,Y,3,N,0,Y,5,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 110, 'endPosition': 128, 'reputationScore': 445, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 171, 'endPosition': 208, 'reputationScore': 640, 'positiveYn': 'N'}, {'topicCode': 'size', 'topicName': '사이즈', 'topicNameRaw': '사이즈', 'startPosition': 377, 'endPosition': 410, 'reputationScore': 370, 'positiveYn': 'N'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 757, 'endPosition': 826, 'reputationScore': 508, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 860, 'endPosition': 865, 'reputationScore': 280, 'positiveYn': 'Y'}]",3232254230-finegst-5592262696,KT공식몰,https://shopping-phinf.pstatic.net/20210216_0/1841f8f8-a497-4496-832a-d5532e6fed85.jpg,색상: 팬텀 그레이,https://smartstore.naver.com/main/products/5592262696,"['https://phinf.pstatic.net/checkout/20210802_210/1627893407481cIpxW_JPEG/review-attachment-9a21fb62-208e-427e-8fbb-95b411ba266e.jpeg', 'https://phinf.pstatic.net/checkout/20210802_28/1627893407340cs3aT_JPEG/review-attachment-038ad7ea-5c20-4834-beb7-d5c4a5bd6388.jpeg', 'https://phinf.pstatic.net/checkout/20210802_96/1627893407570m6f34_JPEG/review-attachment-bcc29fdd-7e1f-4686-813c-b7e6f6c4cbeb.jpeg']",,
9,11st,3295262988,UPSERT,195295327,17703,26510319930,25604807522,na******,최고예요,일단 22가나오기전 고급사양을 어머니께 선물을 드릴수가있어서 좋네요.안그래도 느린폰으로 제가 보기에도 답답했는데 따로 <em>말씀은 안하셔도 좋아하시는게 느껴집니다</em>.먼저 쓰시기도 그리고 속도도 더불어 가격도 높은<em>할인에 흡족합니다</em>. 76만원대에 제폰을 바꿀까 했지만 <em>부모님 먼저 바꿔드리길 잘한 것 같습니다</em> <em>크기도적당하며 삼성스위치로 전에쓰시던 어플까지 그대로 옮길수 있어</em> 더욱 더 좋았던 것같습니다.아버지 기일이며 자식들 손주들 생일을 기록해 두셨던걸 벨소리하며 그래도 빨리 쓰실수 있어서 새폰에 대한 적응도 빠르신 것같네요<em>삼전 주주로 대한민국 국민으로 갤럭시가 보다 편리하게 사용이 가능해서</em> 왠지모르게 뿌듯하네요 ㅎㅎ,2022-01-06,2022-01-06,1641578562704,0.835694,5,N,0,N,0,Y,5,"[{'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 168, 'endPosition': 224, 'reputationScore': 785, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 292, 'endPosition': 316, 'reputationScore': 567, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 364, 'endPosition': 419, 'reputationScore': 780, 'positiveYn': 'Y'}, {'topicCode': 'size', 'topicName': '사이즈', 'topicNameRaw': '사이즈', 'startPosition': 421, 'endPosition': 516, 'reputationScore': 880, 'positiveYn': 'Y'}, {'topicCode': 'total', 'topicName': '만족도', 'topicNameRaw': '만족도', 'startPosition': 733, 'endPosition': 830, 'reputationScore': 890, 'positiveYn': 'Y'}]",195295327-11st-3295262988,11번가,https://shopping-phinf.pstatic.net/20210217/f7063139-d02c-4822-b334-b9afff3956b2.jpg,,,,,
